entref,vatref,deathcode,birthdate,deathdate,sic92,turnover,turnover_date,record_type,legalstatus,actiondate,crn,marker,addressref,inqcode,name1,name2,name3,tradstyle1,tradstyle2,tradstyle3,address1,address2,address3,address4,address5,postcode
709076121581,397585634298,960896,271011,121110,11,360897416,5,1,828201,6,6,4,8321252441010,361,MOZ13T6P5B,ASE300FH5Y,91QF32WK4U,WD54,L2CS,U45L,K09R65FVF9ATRW25ET1RIPQDA,IUFHGRV5,0LZESXMOVZJ4,NAX9GY3B4XJC,6HK3M5XEM5F2,ZCD2 RFC
212325512155,346942023239,101223,211012,271113,46,166347560,1,8,557322,7,8,9,5478823749112,205,1HW791IOUZ,8O2NUP1VCZ,U35GJORPZH,GOXF,24A7,TT8V,ZPLBUTK3HNZ0HMOFQUVYOK0RZ,V81KXF4O,WY749N47Q9CU,PTH2TYY5OE47,XP0IBRXPA1LE,GWVZ 7E2
495531512244,976132369059,537674,171213,121015,11,193031834,5,1,761239,2,4,8,5145771041543,122,C508FQUAON,ZQ969BB5GO,M961QXWN13,Y07A,S0E8,S5TF,YJWAA0GGYCIXJSJ3X480HE91E,4JX5J1G1,DHOY50MWI769,JH86XFKPKSCQ,BX5L20E9W16C,9CPS EHA
397940154689,342823112515,953682,141114,201110,44,382828275,7,6,663113,3,4,8,4727761854209,427,EXIX9ZWTDW,QSXS9LP8KD,T7IVDO2M2J,D9VQ,JIQ5,GIAD,65327B1J6ITB45UWDE3U7LT8H,8E71LYC6,2IBPQA9R6382,B3A5Y63L5QZR,FTP2EV2V843Z,NHF5 FUA
423692308874,478629755446,527092,301014,111215,98,498394462,2,7,944259,6,7,3,7585855057816,598,TGMAQX22C6,1BWK6VBB0C,KU12PE6ROI,NMRC,EJ9N,IOC7,4F7VVO2A33BV5UU08WZWHLLZE,SYCQXJDI,WI81HDJCKKIH,47PQVPNPP7HO,17VQUH1L5NUG,X4FE 9IR
381150763136,941363160384,960007,191116,251212,40,487445309,3,4,652929,1,1,3,8283989508178,256,OX8Y7XAQNB,8NHSUI5PDZ,YML4M5805C,FGHR,88NK,9KJW,97ZXIA1OFXAM408M8XJ800ECI,O33X4NBJ,JH1VHI8JU9NI,AENU9BCZEAP7,17A5CU8G24TH,9SU9 942
629525200907,551392773603,153744,101210,121216,34,214073175,6,2,566726,3,4,1,3060187589747,681,9LWJJNYSWG,P3LQE9BBJC,ZQPIEUD1SW,4G2F,H137,EN90,AM6WZCV0X7GVYNBJ3S9417X72,89RB4YRJ,8B0KW8DGLHG0,JM03EBRW6IAK,9MU5Z400YU6D,UK6X 5NW
589562814545,938589701249,669921,141110,241215,26,197381123,1,5,216695,5,6,8,2703640699303,263,RGAYV8E6W2,Z9G9PKI3E8,WLS9VH3K9P,NDYB,V2W2,6WXR,F0E10QH3JUB5KRP3CJ8N88OBH,PN7PNWBT,F2HGFVMW0I5G,853KDNJ8C2HG,TPFD3YYLRJ69,DA5R X2U
955263330432,848402290412,909434,261010,211111,67,869737491,1,3,311377,7,2,1,1164115022547,354,9ZI3GJ5LMI,MJKVEJA3ET,BA7D4XW6J4,UF2I,0J65,I8OU,GC2GA5C9GK0MAIGUHBMA00339,HX8HQT19,36JT9UYM9VFO,ABB573T249TW,JHVNS18W819I,FDQ0 3L8
822466149881,340235150443,760407,241015,171012,37,899882328,6,4,803350,3,9,4,9191265239025,817,NKV39K3WLS,4XG2QXF4HG,V7UXK7N6V8,LHHX,J4B0,DH02,PJB1G7OD1USVV8ZNLRUIH5TCP,8LX1FDSJ,U5TYG5PQ56BN,NTUS6AHPEPY3,UVXV46QLQADV,DA1Z MYC
580231144777,120205262634,526848,271012,171015,25,644069260,7,3,102035,1,6,8,4106708805432,120,2DY07GLZ4X,OZTFQXKFHJ,HM8HLHN5LJ,OCQC,YSUG,POQ8,FOJIKS6WTDJYZTZSKN0KKV5Y1,XLKSOR9U,I985CAGH13RO,IMRRVLNVZ2NG,ILJWWP63NPUU,HU7W JX0
431580033661,799212420338,331946,151212,281211,53,523040064,7,7,198415,1,2,5,9907835507339,878,7UYGKA12OB,KPF9UD3QHS,IM84MU2UHF,DK43,PSJM,DTKG,8IENP3OHCRGWQGTELDZHWH1CJ,P1VNHGYE,NTMIBDO8P00T,MGH9Z3E0EQK6,3ZBHF8P850FL,K62Z 751
251661473689,629164894117,432986,251113,111014,70,837449702,5,5,307680,1,7,3,9909183961017,483,NHSWKL43O4,RPRRJPK0K2,824EOIGP9E,IBDV,O9M1,27U7,FZZ5PC0G1HTQR3XDXFYW3BD46,PAYKAEZB,F19UYA9UELFQ,X76GWHFK834B,SOBM3I77936L,XTHQ 9EG
575070984679,492922972974,280850,191110,231014,37,439069178,2,2,993689,5,7,3,5694730062554,563,FDBZUUK781,KN4DEQF7WZ,FHA1YI85WJ,0IR2,FR2D,A7KG,YW00N4NBYLUACZLKTK971KQFC,89ELM5A0,5FBA929XOO2C,XWB8M4K4N6UT,9H79LI22RO8A,N0Y1 CKI
139122930186,172383453778,936221,101114,131216,66,704728851,1,7,825963,3,7,8,2209511862298,739,OOZ1BUFLWD,QG4WRV2DIO,5XH3C63OX8,ENWB,M4EK,EYAE,XKL1YLNRNNL04MZZVOK7ZHRUC,LYSN2J4R,SB3NTIW4HP2N,ZKAP5JNZ1O4W,39TLBORZTDUK,5U7A 6F9
399613574208,408168943771,203775,251216,111010,25,574804838,5,8,272876,7,2,2,5675742019359,806,QNTS26N1VN,QKI15VFSON,4EHFHA9Y4J,EXAA,K24Z,IQ3O,7XDE0JQY7980TDD3W0CBK7DSG,XWMP0T2F,BJJQRTBIDP2G,SH4ZMCYA6T9L,OONPWO2LOBRC,NZZL DA5
142194284300,260097763036,132888,161213,281213,15,848609314,9,6,500720,1,7,1,9791133213977,695,LGP795OVTO,T0TA7KW2NY,L8QX54V38D,TQE9,IPVH,0WCW,0SIQ2BKZ7MCEZGN96BLB79LQQ,81Z7BK9F,A9SLKRZE8T9E,LAOVQ2BKDGPX,2ABQVM0C3OCK,SQ0Z XS9
753079061924,808281648666,869870,151010,201110,30,991943576,8,4,200520,4,2,5,8090187864591,356,V41YA774A6,2LIS3F0C14,XFUYA1XVVJ,RMGH,63G2,FMNU,R9WV48VTVZURTP62AP7YHV9R5,HEZLJQZ7,XC7UJ1I1B7GB,8KEDMVP0C42P,FR5OMLJ1FT7U,AP5F 0YP
733098845155,224752501636,246649,281111,231211,58,977416762,1,2,614797,2,5,4,2655164524890,563,PDZINL0LKH,O243Z8XL3B,2COJK5LATQ,ARUE,ZWIM,BP1J,M5IVZK7GI9OLMT69UOXWRG4AL,26O2WV3E,I3KTZIIJA8RC,LSXF6FQVZR8O,5EYYBVKDNZ4M,68UW XJD
847461791018,956512164373,982120,111114,171116,77,668649397,8,2,851079,9,8,2,5815241113915,416,A5ZUI4URMQ,KH6N1JIO17,70CSB0AYWC,GRFE,43G3,5G18,LUF93UK5VEAM7UAVJVJ8IP90R,5H61854R,HRP7E59XW0GT,T8QZY89FEH4O,49E30MN5Y5ZC,VIF3 NHI
989088404558,837886482321,970713,291216,261211,67,288003008,5,7,559870,2,7,4,5401309052851,196,2EQ722UVLU,I351B15ECV,H749JDYGEX,KUDT,MAEE,Z6YA,K1PXE9Z2RXL7GTWQFBV8W3CRS,4YKTJZZF,14L3MYFCF3AX,7C4EJMP2FSJE,CW7P6BVA8H79,T695 X0U
470064693718,708615412090,886094,191213,261110,97,545539803,7,5,925903,2,2,6,1971227839020,818,FUGWP8SU4A,MHJZHMKAZE,G1KTBBD25V,O5H6,96P8,4TOI,I28YVVULFEU83V0PXKSURQKBA,BYZQH4CH,EBM5SDCZNWOJ,JBWC94MBX56F,G8U6I83DDNFN,4MB8 FAD
553419878286,914027596609,995421,201116,181112,34,291695089,3,6,589831,5,6,6,7823392391183,566,0ZNV319GKZ,5MD8LAPL98,3JCNUQNVYE,R6IG,A65J,FZOG,SOKRHY1GU7PPLTQ4LSRLEE2EQ,1OSUBJ1I,99Q9JIXOEF6T,JHPB4KNACOZM,1Y18MLNFHX4I,TEA2 F5S
782859261940,194887911311,141220,301110,161110,63,904013124,3,1,352917,7,4,6,8382736803343,429,LV93CDTJYO,3GC6OQ7KRX,JU4SE01IYA,32DB,AWSG,CTK4,B411GXG0T4SJDQ5VRS7ZQKTGC,HYNW32PK,Z3WTHZYZNPS2,3BV1TVN8Y3F0,5U59SKIK2JJX,H7TX YRO
583415590297,985873694515,651478,181110,261115,54,472500897,9,3,771788,8,8,3,3577267107166,485,LTYR1LI3X1,W1BH6CXUTT,X20BQXX8HR,X1M7,YGJ5,UC2A,ZX4GXTUPQ9HDYVUU9H7LQ7ATA,V0G2ATQV,FVW6N0O0VFXE,Z6SAXF1AL4FH,V40INJAOFOD3,0UQ1 X0C
